,Lyrics,Artist,Song
259,"[""Oh, hey hey hey hey\nno no no no no no no\nIts been too long and I'm lost without you\nWhat am I gonna do,\nsaid I've been needin' you wantin' you\nwonderin' if you're the same and who's been with you\nIs your heart still mine, I wanna cry sometimes\nI miss you"", ""Off to college, yes you went away\nstraight from high school, you up and left me\nwe were close friends, also lovers,\ndid everything for one another\nNow you're gone and I'm lost without you here and now\nbut I know I gotta live and make it somehow\nComeback to me,\nCan you hear me,\nHear me calling, for you"", ""Its been too long and I'm lost without you\nWhat am I gonna do,\nsaid I've been needin' you, wantin' you\nwonderin' if you're the same and who's been with you\nIs your heart still mine, I wanna cry sometimes\nI miss you"", ""Now I'm sitting here, thinkin' bout you\nAnd the days we used to share\nIts driving me crazy, I don't know what to do\nI'm just wondering if you still care\nI don't wanna let you know, that its killing me\nI know you've got another life you gotta concentrate baby\nCome back to me\nCan you hear me\nHear me calling, for you"", ""Its been too long and I'm lost without you\nWhat am I gonna do,\nsaid I've been needin' you wantin' you\nwonderin' if you're the same and who's been with you\nIs your heart still mine, I wanna cry sometimes\nI miss you"", ""Its been too long and I'm lost without you\nWhat am I gonna do,\nsaid I've been needin' you wantin' you\nwonderin' if you're the same and who's been with you\nIs your heart still mine, I wanna cry sometimes\nI miss you"", ""I can't live nomore\nSince you went away I don't really feel like talking\nDon't wanna hear them mock me\nbaby do you understand me,\nI can't do a thing without you"", ""Its been too long and I'm lost without you\nWhat am I gonna do,\nsaid I've been needin' you, wantin' you\nwonderin' if you're the same and who's been with you\nIs your heart still mine, I wanna cry sometimes\nI miss you"", ""Its been too long and I'm lost without you\nWhat am I gonna do,\nsaid I've been needin' you, wantin' you\nwonderin' if you're the same and who's been with you\nIs your heart still mine, I wanna cry sometimes\nI miss you""]",Aaliyah,Miss You
260,"[""How can you see into my eyes like open doors?\nLeading you down into my core, where I've become so numb\nWithout a soul, my spirit's sleeping somewhere cold\nUntil you find it there and lead it back home"", ""(Wake me up)\nWake me up inside (I can't wake up)\nWake me up inside (save me)\nCall my name and save me from the dark"", ""(Wake me up)\nBid my blood to run (I can't wake up)\nBefore I come undone (save me)\nSave me from the nothing I've become"", ""Now that I know what I'm without\nYou can't just leave me\nBreathe into me and make me real\nBring me to life"", ""(Wake me up)\nWake me up inside (I can't wake up)\nWake me up inside (save me)\nCall my name and save me from the dark"", ""(Wake me up)\nBid my blood to run (I can't wake up)\nBefore I come undone (save me)\nSave me from the nothing I've become"", ""Bring me to life\n(I've been living a lie, there's nothing inside)\nBring me to life"", 'Frozen inside without your touch, without your love\nDarling, only you are the life among the dead', ""All this time, I can't believe I couldn't see\nKept in the dark, but you were there in front of me\nI've been sleeping a thousand years, it seems\nGot to open my eyes to everything"", ""Without a thought, without a voice, without a soul\nDon't let me die here (there must be something more)\nBring me to life"", ""(Wake me up)\nWake me up inside (I can't wake up)\nWake me up inside (save me)\nCall my name and save me from the dark"", ""(Wake me up)\nBid my blood to run (I can't wake up)\nBefore I come undone (save me)\nSave me from the nothing I've become"", ""Bring me to life\n(I've been living a lie, there's nothing inside)\nBring me to life""]",Evanescence feat. Paul McCoy,Bring me to Life
261,"['Certified quality\nA dat da girl dem need and dem not stop cry without apology\nBuck dem da right way - dat my policy\nSean Paul alongside - now hear what da man say - Beyonce\nDutty ya, dutty ya, dutty ya\nBeyonce sing it now ya', 'Baby boy you stay on my mind\nFulfill my fantasies\nI think about you all the time\nI see you in my dreams', 'Baby boy not a day goes by\nWithout my fantasies\nI think about you all the time\nI see you in my dreams', ""Aah oh my baby's fly baby oh\nYes no hurt me so good baby oh\nI'm so wrapped up in your love let me go\nLet me breathe stay out my fantasies"", ""Ya ready gimme da ting dat ya ready get ya live\nAnd tell me all about da tings that you will fantasize\nI know you dig da way me step da way me make my stride\nFollow your feelings baby girl b/c they cannot be denied\nCome check me in-a night and make we get it amplified\nMe have da ting to run da ship cause I'm go slip and I'm go slide\nAnd in the words of love I got ta get it certified\nBut I give you da toughest longest kinda ride - girl"", 'Baby boy you stay on my mind\nFulfill my fantasies\nI think about you all the time\nI see you in my dreams', 'Baby boy not a day goes by\nWithout my fantasies\nI think about you all the time\nI see you in my dreams', ""Picture us dancin real close\nIn a dark dark corner of a basement party\nEvery time I close my eyes\nIt's like everyone left but you and me"", 'In our own little world\nThe music is the sun\nThe dance floor becomes the sea\nFeels like true paradise to me', 'Baby boy you stay on my mind\nFulfill my fantasies\nI think about you all the time\nI see you in my dreams', 'Baby boy not a day goes by\nWithout my fantasies\nI think about you all the time\nI see you in my dreams', ""Baby boy you stay on my mind\nBaby boy you are so damn fine\nBaby boy won't you be mine\nBaby boy let's conceive an angel"", ""Top top - girl\nMe and you together is a wrap - dat girl\nDriving around da town in your drop top - girl\nYou no stop shock - girl\nLittle more da dutty, we'll rock dat world"", ""Top top - girl\nMe and you together is a wrap - dat girl\nDriving around da town in your drop top - girl\nYou no stop shock - girl\nLittle more da dutty, we'll rock dat world"", 'Baby boy you stay on my mind\nFulfill my fantasies\nI think about you all the time\nI see you in my dreams', ""We stepping in hotter this year,\nWe stepping in hotter this year,\nI know you gon' like it,\nI know you gon' like it.\nI'm stepping in hotter this year,\nI'm stepping in hotter this year,\nSo don't you fight it,\nSo don't you fight it,""]",Beyonce feat. Sean Paul,Baby Boy
262,"['(Nelly) (P. Diddy)\nWe do it for fun\nWe just do it for fun\nDirty E.A.T\nWe do it for fun\nBad Boy (Nelly, Diddy, Murphy Lee)\nWe do it for fun (This is history baby)\nBend them trucks\nWe do it for fun (haha)\nStack them bucks\nWe do it for fun (Come on now)\nAnd the band played on (yea)\nJust like (I believe you cool to this)\nWe do it for fun\nIf you see me ma\nWe do it for fun', ""(P. Diddy)\nBad Boys 2, the soundtrack\nLet's Go"", ""(Verse 1: Nelly) + (P. Diddy)\nHey girl\nWhat your name is?\nWhere you from?\nTurn around who you came with?\nIs that your ass or your momma have reindeer?\nI can't explain it but damn sure glad you came here\nI'm still a sucker for cornrows, you know I never changed that (nah uh)\nYour body is banging mamma, but where your brains at? (Come on)\nI'm still the same cat when I was young I was running with bad boys\nBut now I'm older hope they saw I'm running with bad boys (that's right)\nHere come another man\nUnlike no other man\nCandy coated whoa!\nSwitching in every lane\nYa'll help me\nWhy don't cha\nPlease help me\n8th girl this week and its only tuesday\nI like the cocky bow legged ones\nLike white and Dominicans\nHispanics and Asians\nShake it for Nelly son\nManolos Ma-no-no's I can't tell\nEverybody and their hootchies\nWhen you do it do it well"", '{*Braves tomahawk chop done in background of Chorus*}', '(Chorus)\n(Nelly) Let me see you take it off\n(P. D.) Girl go and take it off\n(Nelly) We can even do it slow\n(P. D.) We can even do it slow\n(Nelly) Take it where you want to go\n(P. D.) Take it where you want to go\n(Nelly) Just take that ass to the floor\n(P. D.) Pop something move something\nShake ya tail feather, girl go and take it low\n(Nelly) We can even do it slow\n(P. D.) We can even do it slow\n(Nelly) Take it where you want to go\n(P. D.) Take it where you want to go\n(Nelly) Just take that ass to the floor\n(P. D.) Pop something move something\nShake ya tail feather', ""(Verse 2: P. Diddy) + (Nelly)\nNow real girls get down on the floor (on the floor)\nGet that money honey act like you know (like you know)\nMama I like how you dance\nThe way you fit in them pants (Uh)\nTo the floor (Uh) take it low (Uh) girl do it again (Uh)\nYou know I love that (I love that)\nNow where them girls at? (Where the girls at?)\nIt's Diddy, Murphy Lee, and Nelly how you love that? (Shit uh ohhhhhh)\nCome on, we got another one player\n>From New York to the Dirty how they loving it player?\nBaby you impressive let's get\nTo know each other\nYou the best of the best and\nYou got to love it in the dresses, sexiest\nI had to tell her she's a young Janet Jackson live in living color\nLook here momma you're dead wrong for having them pants on\nCapri's cut low so when you shake it I see you're thong\nMy pocket's full of dough shake your feathers till the morning\nIt's Bad Boy and Nelly man somebody better warn them"", '(Chorus)', ""(Bridge: Nelly)\nOh no I heard them bad boys coming\nCan't stop now\nGot to continue my running (yea)\nCause we go party till them lights come on\nAnd if my song stops, fuck it, 'cause my mics still on"", ""(Verse 3: Murphy Lee) + (Nelly)\nYo, I'm the big booty type\nI like em thick with they mind right (Awe)\nBanging personality conversate when the time right (Naw)\nI'm not hard I got women to handle that\nThey be like he the man when I'm really a Thundercat\nCome on you know the tics connect like Voltron\nCollect so much grass popo thinking we mow lawns\nMy gohans don't match that\nBut it matches her head wrap and the seats that I got in the lap\nI'm just a juvenile (Wha)\nBecause I be about G's\nKeep your women wizzy man they say they have my babies\nI'm young like Tucker like the cash and the money (I'm going to eat my money)\nMan, I'm that damn hungry\nSee I'm starving like Marvin girl\nI've got sixteen bars of fire is what I'm starting\nPlus my rats come in packs like Sammy and Dean Martin\nAnd I got so many keys you'd think I was valet parking"", '(Chorus)', ""(Bridge: Nelly)\nOh no I heard them bad boys coming\nCan't stop now\nGot to continue my running (yea)\nBecause we go party till them lights come on\nAnd if my song stops, fuck it, 'cause my mics still on""]","Nelly, P. Diddy and Murphy Lee",Shake ya Tailfeather
263,"['New York City\nYou are now rapping with 50 Cent\nYou gotta love it', 'I just wanna chill and twist a lot\nCatch suns in my 745\nYou drive me crazy shorty I\nNeed to see you and feel you next to me', ""I provide everything you need and I\nLike your smile I don't wanna see you cry\nGot some questions that I got to ask and I\nHope you can come up with the answers babe"", ""Girl, it's easy to love me now\nWould you love me if I was down and out?\nWould you still have love for me?"", ""Girl, it's easy to love me now\nWould you love me if I was down and out?\nWould you still have love for me?\nGirl"", ""If I feel off tomorrow would you still love me?\nIf I didn't smell so good would you still hug me?\nIf I got locked up and sentenced to a quarter century\nCould I count on you to be there to support me mentally?"", 'If I went back to a hoopty from a Benz\nWould you poof and disappear like some of my friends?\nIf I was hit and I was hurt would you be by my side?\nIf it was time to put in work would you be down to ride?', ""I'd get out and peel a nigga cap and chill and drive\nI'm asking questions to find out how you feel inside\nIf I ain't rap 'cause I flipped burgers at Burger King\nWould you be ashamed to tell your friends you feelin' me?"", ""And in bed if I used to my tongue, would you like that?\nIf I wrote you a love letter would you write back?\nNow we can have a lil' drink you know a nightcap\nAnd we could go do what you like, I know you like that"", ""Girl, it's easy to love me now\nWould you love me if I was down and out?\nWould you still have love for me?"", ""Girl, it's easy to love me now\nWould you love me if I was down and out?\nWould you still have love for me?\nGirl"", ""Now would you leave me if you're father found out I was thuggin'?\nDo you believe me when I tell you, you the one I'm loving?\nAre you mad 'cause I'm asking you 21 questions?\nAre you my soul mate? 'Cause if so, girl you a blessing"", ""Do you trust me enough, to tell me your dreams?\nI'm staring at ya' trying to figure how you got in them jeans\nIf I was down would you say things to make me smile?\nI treat you how you want to be treated just teach me how"", ""If I was with some other chick and someone happened to see?\nAnd when you asked me about it I said it wasn't me\nWould you believe me? Or up and leave me?\nHow deep is our bond if that's all it takes for you to be gone?"", 'We only human girl we make mistakes\nTo make it up I do whatever it take\nI love you like a fat kid love cake\nYou know my style I say anything to make you smile', ""Girl, it's easy to love me now\nWould you love me if I was down and out?\nWould you still have love for me?"", ""Girl, it's easy to love me now\nWould you love me if I was down and out?\nWould you still have love for me?\nGirl"", ""Could you love me in a Bentley? Could you love me on a bus?\nI'll ask 21 questions, and they all about us\nCould you love me in the bedroom? Could you love me on a bus?\nI'll ask 21 questions, and they all about us""]",50 Cent feat. Nate Dogg,21 Questions
264,"[""Don't look at me"", ""Every day is so wonderful\nThen suddenly it's hard to breathe.\nNow and then I get insecure\nFrom all the pain, I'm so ashamed."", ""I am beautiful no matter what they say.\nWords can't bring me down.\nI am beautiful in every single way.\nYes, words can't bring me down... Oh no.\nSo don't you bring me down today."", ""To all your friends you're delirious,\nSo consumed in all your doom.\nTrying hard to fill the emptiness.\nThe pieces gone, left the puzzle undone.\nis that the way it is?"", ""You are beautiful no matter what they say\nWords can't bring you down....oh no\nYou are beautiful in every single way\nYes, words can't bring you down, oh, no\nSo don't you bring me down today..."", ""No matter what we do\n(no matter what we do)\nNo matter what we say\n(no matter what we say)\nWe're the song inside the tune\nFull of beautiful mistakes"", 'And everywhere we go\n(and everywhere we go)\nThe sun will always shine\n(the sun will always, always shine)\nAnd tomorrow we might wake on the other side', ""We are beautiful no matter what they say\nYes, words won't bring us down, no, no\nWe are beautiful in every single way\nYes, words can't bring us down, oh, no\nSo don't you bring me down today"", ""Oh, yeah, don't you bring me down today, yeah, ooh\nDon't you bring me down ooh... today""]",Christina Aguilera,Beautiful
265,"[""I'm standin' on the bridge\nI'm waitin' in the dark\nI thought that you'd be here by now\nThere's nothing but the rain\nNo footsteps on the ground\nI'm listening but there's no sound"", ""Isn't anyone tryin' to find me?\nWon't somebody come take me home?"", ""It's a damn cold night\nI'm tryin' to figure out this life\nWon't you take me by the hand?\nTake me somewhere new"", ""I don't know who you are\nBut I'm, I'm with you\nI'm with you\nHmm hmm hmm\nI'm looking for a place"", ""I'm searching for a face\nIs anybody here I know?"", ""'Cause nothing's going right\nAnd everything's a mess\nAnd no one likes to be alone\nIsn't anyone tryin' to find me?"", ""Won't somebody come take me home?\nIt's a damn cold night"", ""I try to figure out this life\nWon't you take me by the hand?\nTake me somewhere new\nI don't know who you are"", ""But I'm, I'm with you\nI'm with you"", ""Yea yea\nOh, why is everything so confusing?\nMaybe I'm just out of my mind\nYea eee yeah, yea eee yeah\nYea yee yea, yea eee yeah, yeah\nIt's a damn cold night\nTryin' to figure out this life"", ""Won't you take me by the hand?\nTake me somewhere new\nI don't know who you are\nBut I'm, I'm with you, yea\nI'm with you, yea\nTake me by the hand\nTake me somewhere new\nI don't know who you are\nBut I'm, I'm with you, yea\nI'm with you, yea\nTake me by the hand\nTake me somewhere new\nI don't know who you are\nBut I'm, I'm with you, oh\nI'm with you\nI'm with you""]",Avril Lavigne,I’m with You
266,"[""I got the magic stick\nI know if I can hit once\nI can hit twice\nI hit the baddest chicks\nShorty don't believe me then call me tonight\nAnd I'll show you magic (what what) maagic\nI got the magic stick"", ""I'm a freak to the core\nGet a dose once you gonna want some more\nMy tongue touch you girl, your toes bound to curl\nThis exclusive stick I don't share with the world\nI had you up early in the mornin' moanin'\nBack shots proper the law can't stop us\nBeen a fiend for this since Rakeim made hits\nGet the position down pat then its time to switch\nI rock the boat, I work the middle\nI speed it up, straight beat it up\nAnd I ain't in the hood with my toast out loc'n\nI'm in the telly working up a sweat strokin'\nTonight's the night you could fall in love\nYou could call your mama right now tell her you met a thug\nI talk alot of shit cause i can back it up\nMy left stroke's the death stroke"", ""(lil kim)\nI've got the magic clit\nI know if I get licked once\nI get licked twice\nI am the baddest chick\nShorty you don't believe me then call me tonight\nand I'll show you magic (what what) maagic\nI've got the magic clit\nLil' Kim not a whore but i sex a nigga so good he gotta tell his boys\nWhen you come to sex don't test my skills\n'Cause my head game have you head over heels\nGive a 'nigga the chills have him pay my bills\nBuying matchin Lambos with the same color wheels\nAnd I ain't out shoppin' spending dude's c-notes\nI'm in the crib giving niggas deep throat\nTonight Lil' Kim gonna have you in the zone\nGirls in your crib I'm answering the phone\nGuys wanna wife me, give me the ring\nI'll do it anywhere, anyhow, I'm down for anything\nA couple of humps give a nigga goose bumps\nThis junk in my trunk ain't made for chumps\nWhen Lil' Kim's around you don't need to lie\nIt's the drugs baby, I'm making you high"", ""(50 Cent)\nI've got the magic stick\nI know if I can hit once\nI can hit twice"", ""(Lil' Kim)\nI am the baddest chick\nShorty you don't believe me then call me tonight\nAnd I'll show you magic (what, what)"", '(50 Cent)\nMaagic', ""(Lil' Kim)\nUh huh, uh huh\nI got the magic clit\nI'll put your face in it\nI know you're sprung off in your tongue\nI know you're tasting it"", ""(50 Cent)\nSex ain't a race"", ""(Lil' Kim)\nBut I had a thug nigga breakin' records\nAnd the time is..."", '(50 Cent)\nOne minute six seconds\nMagic stick', ""(Lil' Kim)\nI got the magic box"", ""(Lil' Kim & 50 Cent)\nHad that ass trickin' after one back shot"", '(50 Cent)\nThe gifts, the ice\nI like that a lot', ""(Lil' Kim)\nThe minks, the leathers\nThe C L drop"", ""(50 Cent)\nI got the magic stick\nI know if I can hit once\nI can hit twice\nI hit the baddest chicks\nShorty don't believe me then call me tonight\nAnd I'll show you magic (what, what) maagic\nI got the magic stick"", ""(Lil' Kim)\nI know if I get licked once\nI get licked twice\nI am the baddest chick\nShorty don't believe me then call me tonight\nAnd I'll show you magic (what, what) maagic\nUh huh, uh huh"", ""(Lil' Kim & 50 Cent)\nI've got the magic stick""]",Lil’ Kim feat. 50 Cent,Magic Stick
267,"[""I don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P"", ""I don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P"", ""Now shorty, she in the club, she dancin' for dollars\nShe got a thing for that Gucci, that Fendi, that Prada\nThat BCBG, Burberry, Dolce and Gabana\nShe feed them foolish fantasies, they pay her 'cause they wanna"", ""I spit a little G man, and my game got her\nA hour later, have that ass up in the Ramada\nThem trick niggas in her ear sayin' they think about her\nI got the bitch by the bar, tryin' to get a drink up out her"", ""She like my style, she like my smile, she like the way I talk\nShe from the country, think she like me 'cause I'm from New York\nI ain't that nigga tryin' to holla 'cause I want some head\nI'm that nigga tryin' to holla 'cause I want some bread"", ""I could care less how she perform when she in the bed\nBitch hit that track, catch a date, and come and pay the kid\nLook baby this is simple, you can't see\nYou fuckin' with me, you fuckin' with a P I M P"", ""I don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P"", ""I don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P"", ""I'm 'bout my money you see, girl you can holla at me\nIf you fuckin' with me, I'm a P I M P\nNot what you see on TV, no Cadillac, no greasy\nHead full of hair, bitch I'm a P I M P"", ""Come get money with me, if you curious to see\nHow it feels to be with a P I M P\nRoll in the Benz with me, you could watch TV\nFrom the backseat of my V, I'm a P I M P"", ""Girl we could pop some champagne and we could have a ball\nWe could toast to the good life, girl we could have it all\nWe could really splurge girl, and tear up the mall\nIf ever you needed someone, I'm the one you should call"", ""I'll be there to pick you up, if ever you should fall\nIf you got problems, I can solve 'em, they big or they small\nThat other nigga you be with ain't 'bout shit\nI'm your friend, your father, and confidant, bitch!"", ""I don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P"", ""I don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P"", 'I told you fools before, I stay with the tools\nI keep a Benz, some rims, and some jewels\nI holla at a hoe, till I got a bitch confused\nShe got on Payless, me I got on gator shoes', ""I'm shoppin' for chinchillas, in the summer they cheaper\nMan this hoe you can have her, when I'm done I ain't gonna keep her\nMan, bitches come and go, every nigga pimpin' know\nYou sayin' it's secret, but you ain't gotta keep it on the low"", ""Bitch choose with me, I'll have you strippin' in the street\nPut my other hoes down, you get your ass beat\nNow nik my bottom bitch, she always come up with my bread\nThe last nigga she was with, put stitches in her head\nGet your hoe out of pocket, I'll put a charge on a bitch\n'Cause I need 4 TVs and AMGs for the six\nHoe make a pimp rich, I ain't payin' bitch\nCatch a date, suck a dick, shit, trick!\nI don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P\nI don't know what you heard about me\nBut a bitch can't get a dollar out of me\nNo Cadillac, no perms, you can't see\nThat I'm a motherfuckin' P I M P\nYeah, in Hollywoood they say, there's no b'ness like show b'ness\nIn the hood they say, there's no b'ness like hoe b'ness, you know\nThey say I talk a lil' fast, but if you listen a lil' faster\nI ain't gotta slow down for you to catch up, bitch! Ha ha ha, yeah""]",50 Cent,P.I.M.P.
268,"['Baby girl, Desert Storm', ""I can't really explain it, I'm so into you now\nI wanna be more than a friend to you now\nWhen they ask, I mention my baby girl in the interviews now\nAnd I don't bring the problems from the 90's in the 2 thou"", ""There's no reason to have a friend or two now\n'Cuz the kids ready to tell you, how he feel in a few vows\nMaybe, I speak in general now\nBut girl, I'm gonna do whatever just to keep a grin on you now"", ""Where I go, they wear bikinis in the winter too now\nWhat you think about tan lines on the skin of you now?\nWhy wouldn't I wanna spend a few thou\nOn fifth ave, shopping sprees and them dinners to chow"", ""I ain't concerned with other men would do now\nAs long as when I slide up in you, you growl\nAnd any dude with you, he better be a kin of you now\nAnd I ain't jealous, it's the principle now"", ""I really like what you've done to me\nI can't really explain it, I'm so into you\nI really like what you've done to me\nI can't really explain it, I'm so into you"", ""Come on ma, it's more than a flashin'\nI would've traded it all in orderly fashion\nMy villa in Florida, we crashin'\nJust off the shore, so you can hear when the water be splashin'"", ""The Drop top 3 in a quarter, we dashin'\nFlawless diamonds in the water, we flashin'\nThe money, we oughta be stashin'\nI make sure every quarter be cashed in\nI can't really explain it"", ""My friends be thinking I'm slippin'\nThese girls be thinking I'm trippin'\nWhat kinda weed you be smokin'\nWhat typa drinks you be sippin'"", ""Sweet thing\nJust to think of you dippin'\nWould have me with the blue, so hard\nYou would think I was crippin'"", ""Now you relaxin' in the Benz, credit cards with no limits\nSo, you don't worry about maxing, when you spends\nBut since you been asking about the friends\nHow'd you like it if both our names had Jackson on the ends"", ""I really like what you've done to me\nI can't really explain it, I'm so into you\nI really like what you've done to me\nI can't really explain it, I'm so into you"", ""I don't wanna trip, but truth is, girl, the way you cook a stake\nRemind me of them trips to Ruth Chris\nYou love my smile, no matter how chipped my tooth is\nWith you, it ain't because my whips is ruthless"", ""So, sit on chrome, dipped up deuces\nAnd you ain't flattered by Canary NVS, dipped tay seusses\nOther ballers look dumb when they press you\nFive and sixes, you don't let them kinda number's impress you"", ""Even though I was somewhat successful\nBeing a player was becoming too stressful\nBut ever since, this superwoman has come to my rescue\nMy winter's been wonderful, my summer's been special"", ""Let's fly to St. Bart, while the villa being painted\nJust so we can get really acquainted\nThe love is real, there's no way it can feel like it's tainted\nBut, I can't really explain it, yeah"", ""I really like what you've done to me\nI can't really explain it, I'm so into you\nI really like what you've done to me\nI can't really explain it, I'm so into you"", ""I really like what you've done to me\nI can't really explain it, I'm so into you\nI really like what you've done to me\nI can't really explain it, I'm so into you"", 'Oh, no, no, no, no, no, no\nSo into you, yeah, yeah, yeah, yeah, yeah']",Fabolous feat. Tamia Or Ashanti,Into You
269,"[""Haha yea\nWhat up ma\nHave you been\nYea I know, I know\nIt's all good\nMurder inc"", 'Girl your stare those eyes I\nLove it when you look at me baby\nYour lips, your smile I\nLove it when you kiss me baby\nYour hips those thighs I\nLove it when you thug me baby\nAnd I cant deny I', ""Love it when I'm with you baby\nI got a fetish for fucking you with the skirt on\nOn a back street in the back seat of a Yukon\nWhat's taking so long?\nI'm getting anxious but patiently waiting for you to tell a nigga to move on\nBetween me and you we can find a jet to fly aboard in my private g2\nI ain't trying to g you ma, I'm trying to see you\nBend over you know how we do it, feet to shoulders\nBring heat to the coldest night So ferocious\nNow u street promoting the dick game is potent\nCause in the bed nigga go hard like jordan sweat pouring\nloving the way you be moaning, gripping\nthe sheets\nLooking at me, Licking at me\nCause every woman just wanna be happy"", ""Its crazy but baby I\nlove it when I'm with you baby\nI wanna get away\nCause you know like I know\nAnd there's a better day coming\nI'm hooked on your lovin"", ""Believe me\nAnd when you hold my body\nI know you need me\nWait for me baby\nIve been going half crazy for your love\nAnd I was told that the sex, better then drugs\nThen get addicted *boy listen*\nI'm the only piece of the puzzle your missing\nLike when *were* kissing (*bye bye bye*)\nYou got a girl that'll ride, ride, ride\nSo take me tonight and do what you do to me baby\nShorty Are you really getting bored with me\nor him Cause though I play a lot of games"", 'I play them to win', ""But then again I'm still young and I'm livin' my life\nYour know you right and I'm the type\nto pull up to your bumper get your number\nBaby I can only help but wonder\nWhat life would be without\nmy sweet baby\nand you're my baby"", ""Holla if you hear me\nOooooh oooh oooh\nYou can understand that my love is pain\nAnd how I feel in vain is just a women thang\nIt's a mans world but I understand\nBut there's still nothin different boy, stick to the plan\nYou be my down ass with your round ass\nI know I'm feeling you\nLike you feeling me\nThe way your wantin' my body, The way you touch me"", 'I love when you touch me baby\nAll over my body baby\nI love when you kiss me baby\nAll over my body baby\nI love when you touch me baby\nAll over my body baby\nI love when you kiss me baby\nall over my body baby']",Ja Rule feat. Ashanti,Mesmerize
270,"[""What's wrong with the world, mama\nPeople livin' like they ain't got no mamas\nI think the whole world addicted to the drama\nOnly attracted to things that'll bring you trauma"", ""Overseas, yeah, we try to stop terrorism\nBut we still got terrorists here livin'\nIn the USA, the big CIA\nThe Bloods and The Crips and the KKK"", ""But if you only have love for your own race\nThen you only leave space to discriminate\nAnd to discriminate only generates hate\nAnd when you hate then you're bound to get irate, yeah"", ""Madness is what you demonstrate\nAnd that's exactly how anger works and operates\nMan, you gotta have love just to set it straight\nTake control of your mind and meditate\nLet your soul gravitate to the love, y'all, y'all"", ""People killin', people dyin'\nChildren hurt and you hear them cryin'\nCan you practice what you preach?\nOr would you turn the other cheek?"", ""Father, Father, Father help us\nSend some guidance from above\n'Cause people got me, got me questionin'\nWhere is the love (Love)"", 'Where is the love (The love)\nWhere is the love (The love)\nWhere is the love, the love, the love', ""It just ain't the same, old ways have changed\nNew days are strange, is the world insane?\nIf love and peace are so strong\nWhy are there pieces of love that don't belong?"", ""Nations droppin' bombs\nChemical gasses fillin' lungs of little ones\nWith ongoin' sufferin' as the youth die young\nSo ask yourself is the lovin' really gone"", ""So I could ask myself really what is goin' wrong\nIn this world that we livin' in people keep on givin' in\nMakin' wrong decisions, only visions of them dividends\nNot respectin' each other, deny thy brother\nA war is goin' on but the reason's undercover"", ""The truth is kept secret, it's swept under the rug\nIf you never know truth then you never know love\nWhere's the love, y'all, come on (I don't know)\nWhere's the truth, y'all, come on (I don't know)\nWhere's the love, y'all"", ""People killin', people dyin'\nChildren hurt and you hear them cryin'\nCan you practice what you preach?\nOr would you turn the other cheek?"", ""Father, Father, Father help us\nSend some guidance from above\n'Cause people got me, got me questionin'\nWhere is the love (Love)"", 'Where is the love (The love)?\nWhere is the love (The love)?\nWhere is the love (The love)?\nWhere is the love, the love, the love?', ""I feel the weight of the world on my shoulder\nAs I'm gettin' older, y'all, people gets colder\nMost of us only care about money makin'\nSelfishness got us followin' the wrong direction"", 'Wrong information always shown by the media\nNegative images is the main criteria\nInfecting the young minds faster than bacteria\nKids wanna act like what they see in the cinema', ""Yo', whatever happened to the values of humanity\nWhatever happened to the fairness and equality\nInstead of spreading love we're spreading animosity\nLack of understanding, leading us away from unity"", ""That's the reason why sometimes I'm feelin' under\nThat's the reason why sometimes I'm feelin' down\nThere's no wonder why sometimes I'm feelin' under\nGotta keep my faith alive 'til love is found\nNow ask yourself"", 'Where is the love?\nWhere is the love?\nWhere is the love?\nWhere is the love?', ""Father, Father, Father, help us\nSend some guidance from above\n'Cause people got me, got me questionin'\nWhere is the love?"", ""Sing with me y'all:\nOne world, one world (We only got)\nOne world, one world (That's all we got)\nOne world, one world\nAnd something's wrong with it (Yeah)\nSomething's wrong with it (Yeah)\nSomething's wrong with the wo-wo-world, yeah\nWe only got\n(One world, one world)\nThat's all we got\n(One world, one world)""]",Black Eyed Peas,Where is the Love?
